24,37,39
25,37,33
13,24,16
17,28,30
27,34,41
19,34,37
4,19,24
10,22,27
31,48,44
26,44,33
29,42,36
71,79,73
91,96,91
78,79,74
71,82,76
78,93,92
17,24,29
16,30,35
17,40,38
19,37,38
14,30,32
9,26,28
13,33,30
16,51,41
17,56,45
17,51,43
16,32,34
18,33,41
12,23,31
3,8,15
3,6,5
6,16,18
9,18,23
4,9,5
15,25,21
29,51,44
22,42,39
9,16,16
12,20,21
17,25,30
19,35,39
10,23,30
11,27,27
17,41,38
22,57,53
23,69,61
18,55,48
12,33,26
12,28,25
17,50,43
17,55,45
23,60,53
10,29,23
6,19,15
6,23,24
8,29,29
14,39,39
13,36,37
8,29,35
9,23,30
17,33,36
15,31,30
2,4,3
14,50,43
13,21,27
33,52,51
37,63,60
20,38,37
13,16,24
14,18,27
15,18,27
21,23,32
31,33,36
48,55,50
53,60,50
82,78,75
77,72,79
34,38,48
12,15,24
8,14,19
12,25,28
19,38,43
19,40,42
15,29,34
8,12,24
16,29,36
8,14,14
7,20,18
29,60,60
26,52,54
14,27,31
8,8,10
5,8,12
5,19,27
5,20,26
8,24,23
20,46,36
33,64,52
26,52,45
16,27,29
12,28,30
18,46,48
25,56,58
24,40,47
12,19,30
14,28,34
4,4,6
2,4,5
8,26,24
7,22,21
0,1,0
0,6,4
0,10,7
7,25,23
17,46,44
12,32,31
10,34,28
15,42,37
9,28,26
5,22,17
9,31,30
7,24,28
8,22,23
10,24,28
16,27,31
12,18,21
26,52,45
28,73,54
17,28,34
18,31,35
14,27,26
10,21,19
11,21,26
17,23,31
22,30,36
27,40,42
33,39,42
53,49,50
110,109,105
65,76,75
0,11,17
9,20,26
6,10,12
6,20,16
18,47,42
16,46,43
9,23,25
6,14,16
9,28,27
11,24,22
17,35,37
22,42,45
9,9,10
5,4,10
16,34,37
18,37,38
8,16,25
9,15,24
11,21,31
12,29,32
17,38,33
18,37,32
13,25,26
7,16,25
4,11,18
6,18,22
8,17,23
2,2,5
4,8,13
11,32,32
6,30,25
9,29,25
9,26,20
13,37,25
20,55,43
17,57,52
13,43,46
12,32,37
10,20,20
12,27,24
13,40,36
