40,75,33
44,61,25
75,78,47
100,91,63
99,87,64
90,84,63
75,68,48
121,117,95
105,102,79
95,90,68
100,91,72
95,87,67
92,83,64
99,89,71
97,88,69
109,96,82
98,86,71
93,81,67
99,87,73
94,82,69
90,79,57
106,96,73
158,148,125
135,125,102
119,110,82
152,142,115
131,121,94
148,138,111
139,129,105
104,93,69
104,97,72
106,99,81
105,92,77
105,89,51
196,184,134
114,106,60
160,154,106
108,102,54
149,141,92
121,111,64
128,118,74
131,122,76
118,109,66
128,119,80
151,144,110
93,87,62
101,98,83
97,95,80
113,111,96
104,102,87
101,99,84
90,88,74
103,101,88
99,97,84
89,87,74
93,90,78
97,96,83
84,87,73
88,90,76
90,87,75
101,96,85
99,95,83
118,117,100
70,69,52
48,76,35
57,75,37
115,112,87
109,100,77
91,82,60
70,65,39
125,120,90
110,106,77
90,85,62
110,103,86
101,93,78
100,93,77
101,97,80
99,96,79
80,77,60
64,57,48
99,89,78
85,76,63
98,87,74
94,80,65
105,91,64
163,148,126
150,135,118
151,135,113
151,138,106
106,95,64
168,157,130
148,137,109
102,90,71
109,97,77
118,106,86
104,92,78
105,93,75
80,74,32
163,158,117
153,146,120
108,106,60
147,146,99
115,106,58
145,130,86
100,84,47
153,148,110
92,84,47
157,147,111
124,118,82
97,96,70
103,102,86
100,98,83
111,109,94
105,103,88
100,98,82
92,90,76
100,98,84
102,100,86
89,87,73
85,83,68
101,98,84
88,85,70
99,97,82
98,95,80
104,101,87
90,87,72
113,112,97
65,64,45
43,66,27
50,64,28
106,104,80
124,117,93
73,62,41
113,104,78
144,135,106
133,127,99
87,81,61
67,60,48
53,47,40
66,59,52
59,58,49
55,55,45
12,12,4
5,1,0
78,70,64
74,66,57
104,96,81
96,85,69
151,138,115
146,133,110
143,131,108
145,133,110
155,143,114
148,136,110
139,127,101
112,100,74
102,89,70
107,94,75
116,104,84
121,109,95
109,99,80
89,80,39
168,160,113
151,141,106
125,120,74
164,160,111
95,87,36
146,135,89
107,94,56
141,138,97
106,99,60
136,126,87
113,107,73
103,102,76
108,107,91
102,100,85
105,103,88
111,109,94
101,99,84
93,91,76
93,91,76
107,105,90
86,84,69
83,82,66
100,97,82
90,87,72
100,97,82
101,98,83
106,103,88
94,91,76
138,133,120
81,77,59
57,71,35
65,72,38
93,92,67
95,87,64
131,118,97
134,121,97
133,121,92
140,133,110
106,99,82
10,3,0
28,24,24
6,2,2
21,20,19
19,20,19
24,26,23
34,31,34
58,53,52
37,32,25
61,57,40
89,82,64
143,133,114
132,123,98
136,128,100
141,132,107
143,134,112
146,135,113
125,113,90
102,89,66
104,91,72
102,89,70
111,100,79
107,95,80
104,93,75
83,71,30
180,170,118
177,165,121
134,126,79
146,139,87
113,106,53
129,122,76
132,125,84
114,111,67
131,124,81
107,98,57
125,118,84
93,92,66
102,102,85
98,96,81
108,106,91
112,110,95
101,99,84
98,96,81
95,93,78
105,103,88
87,85,70
89,87,72
102,99,84
89,86,71
99,96,81
89,86,71
106,103,88
94,91,76
114,106,93
112,105,87
71,81,47
79,87,55
98,97,72
89,85,61
92,87,61
134,129,102
86,81,54
74,70,49
46,41,26
29,24,18
10,8,10
26,23,25
27,28,28
26,28,27
18,20,20
19,22,19
0,0,0
70,68,59
84,81,65
78,73,51
137,128,114
132,125,105
135,129,101
135,128,101
142,134,112
107,97,74
101,89,65
108,96,72
105,92,76
108,94,79
109,99,79
103,95,78
108,94,79
77,67,27
196,187,126
160,145,95
150,138,87
112,104,52
138,132,80
106,100,53
149,141,102
98,97,48
158,152,105
102,93,48
148,142,105
91,90,62
104,103,87
101,99,84
100,98,83
106,104,89
103,101,86
93,91,76
94,92,77
111,109,94
93,91,76
82,80,65
100,98,83
90,87,72
100,97,82
93,90,75
107,104,90
92,88,74
114,105,83
113,108,91
90,90,64
85,85,59
89,87,67
93,88,68
87,81,62
104,101,82
85,82,62
28,31,14
22,23,15
12,12,10
27,27,25
26,26,23
32,37,32
16,21,16
2,7,4
54,62,50
41,44,31
55,57,41
72,71,56
30,26,15
66,59,47
144,139,120
146,140,115
146,139,112
110,103,80
101,90,70
110,97,78
107,95,75
108,95,80
110,96,81
110,100,80
103,96,79
110,97,83
81,68,27
194,182,113
110,94,32
179,168,117
88,80,25
167,162,109
88,81,35
139,131,92
102,100,52
141,135,89
101,92,47
157,150,113
94,93,66
101,101,85
110,108,94
96,94,79
106,104,89
109,107,92
97,95,80
95,93,78
113,111,96
91,89,74
85,83,68
97,95,80
91,88,73
99,96,81
90,87,72
105,102,87
96,93,78
107,102,76
96,93,82
104,99,78
98,93,72
89,88,69
97,92,74
98,94,76
100,98,80
41,40,25
14,19,10
18,24,18
25,31,26
31,37,28
63,69,60
2,12,3
5,15,6
20,29,21
23,37,19
55,64,45
46,53,31
27,31,17
19,18,9
0,0,0
103,100,86
149,145,124
124,116,90
104,95,72
116,104,86
116,103,86
107,93,76
109,97,80
104,91,75
113,103,83
103,95,77
113,100,83
90,74,43
169,153,96
124,106,46
167,157,100
106,98,41
149,144,89
114,108,61
118,112,70
132,128,81
116,110,63
127,119,74
134,128,92
98,97,69
101,100,84
105,103,89
103,101,86
106,104,89
105,103,88
95,93,78
96,94,79
112,110,95
89,87,72
83,81,66
111,109,94
87,83,69
101,98,84
93,90,76
110,107,93
98,94,80
116,114,89
98,96,90
98,92,74
99,93,75
102,100,83
89,88,71
89,86,67
117,115,98
34,33,24
0,1,0
17,27,16
36,49,34
47,60,44
44,57,40
37,50,36
31,45,30
24,37,23
48,68,47
55,71,48
42,55,32
57,67,46
48,53,38
49,53,40
51,51,40
89,86,74
75,70,51
56,47,26
96,82,67
104,90,77
119,106,88
107,96,71
111,100,80
121,113,91
103,95,75
113,100,80
86,72,44
154,139,89
173,159,98
120,112,51
143,134,78
105,97,44
147,142,91
101,100,51
150,142,96
99,92,45
152,146,102
112,108,72
111,108,78
97,95,78
107,105,91
98,96,81
109,107,92
106,104,89
100,98,83
100,98,83
112,110,95
91,89,74
80,78,63
103,100,86
98,93,82
100,96,85
92,87,76
94,89,78
102,98,86
114,106,89
103,98,94
103,92,76
104,94,77
76,70,58
44,37,24
40,36,22
64,64,55
8,9,7
46,55,48
28,41,29
42,59,41
55,78,50
32,53,27
38,60,35
43,66,42
32,55,31
43,67,47
45,64,40
28,44,20
43,56,34
67,74,58
63,75,55
1,7,0
17,18,14
26,26,18
51,49,38
82,74,59
68,59,43
119,112,93
117,106,82
112,101,81
106,97,75
105,98,79
109,97,78
85,69,41
157,143,92
207,191,132
85,76,15
159,150,92
85,77,24
163,158,106
100,98,48
141,133,88
107,100,53
148,141,98
103,99,64
106,104,74
95,93,76
115,113,99
105,103,88
108,106,91
107,105,90
102,100,85
93,91,76
109,107,92
94,92,77
84,82,66
95,93,79
93,88,77
95,90,79
95,91,79
93,89,77
108,103,92
114,105,91
106,103,91
98,89,72
108,99,84
60,50,42
47,39,32
32,28,22
20,21,17
3,7,5
24,35,28
35,50,36
35,55,33
9,33,3
11,35,5
43,71,40
38,67,36
20,48,18
30,53,33
33,57,31
43,63,38
22,41,18
27,45,27
17,33,9
41,53,36
45,52,46
2,6,4
47,47,43
62,59,48
85,79,61
112,106,84
115,107,81
115,103,84
108,98,78
111,104,83
112,99,82
86,71,43
154,140,89
198,183,123
96,87,30
157,147,94
102,93,42
132,125,77
114,112,67
113,105,60
133,126,80
119,112,68
122,117,82
110,107,77
96,94,77
115,113,98
101,99,84
103,101,86
107,105,90
101,99,84
93,91,76
113,111,96
92,90,75
82,80,65
94,92,78
84,83,70
90,89,75
87,86,73
93,92,79
95,94,81
92,86,73
91,88,73
90,85,65
101,96,79
35,30,24
0,0,0
31,31,28
29,31,29
2,6,3
41,56,43
31,50,29
40,62,35
39,61,34
31,52,26
28,53,24
24,49,21
22,46,19
45,68,47
32,56,31
43,67,41
19,42,17
30,53,32
43,65,39
24,40,22
23,36,24
2,10,2
46,53,42
70,71,59
15,14,0
89,85,61
116,109,83
107,95,76
105,95,77
109,103,80
109,96,79
91,76,47
149,135,85
147,132,72
137,129,74
102,92,39
145,136,87
106,99,53
135,132,90
95,89,43
157,149,103
99,93,49
149,145,110
104,102,72
93,92,75
107,105,90
96,94,79
99,97,82
104,102,87
97,95,80
93,91,76
111,109,94
88,86,71
84,82,67
88,87,72
86,88,74
89,90,76
84,86,72
97,98,84
94,96,81
97,94,77
113,110,93
88,87,66
95,94,77
96,98,93
0,0,0
11,16,14
7,11,9
17,27,24
43,62,40
31,56,24
33,57,24
23,40,19
41,58,36
28,48,26
42,64,41
17,39,16
51,76,55
41,66,39
27,52,25
37,64,38
7,30,10
15,43,15
42,67,47
31,51,37
35,54,37
42,58,38
65,71,55
66,66,47
88,88,62
111,105,78
105,93,74
107,96,78
107,102,80
110,97,79
105,89,61
144,130,78
110,94,34
175,167,113
90,80,28
166,157,108
92,86,40
135,133,89
110,103,56
154,147,99
108,102,57
143,139,103
108,108,78
96,95,78
103,101,87
96,95,80
96,94,79
97,95,80
101,99,84
94,92,77
102,100,85
92,89,74
79,77,61
96,94,80
89,90,76
90,91,77
90,92,78
95,96,83
99,100,87
95,90,71
104,99,80
95,90,70
81,76,61
43,43,30
27,34,19
44,60,42
32,52,32
26,44,26
8,26,7
32,52,27
44,64,39
17,32,19
10,24,10
0,17,2
26,47,30
32,52,35
17,34,12
27,48,26
38,60,36
29,53,26
40,68,41
22,46,16
51,74,46
26,49,21
52,71,44
35,51,24
51,64,38
61,69,45
113,110,90
117,107,85
111,100,78
107,95,74
114,98,76
97,80,65
90,75,51
