71,106,54
40,77,23
53,93,31
52,89,26
78,126,53
74,124,44
90,131,51
99,149,60
62,98,40
55,94,38
59,102,45
64,108,37
47,89,26
81,122,54
85,128,52
86,134,60
60,104,37
78,118,53
91,134,55
57,98,30
72,108,41
95,131,59
102,144,60
82,130,46
76,128,56
39,73,33
94,100,55
69,97,51
70,95,64
53,72,42
88,118,103
72,74,60
42,61,46
84,107,106
105,143,140
117,156,155
154,177,192
107,121,93
146,157,118
196,195,179
188,209,204
117,144,141
133,165,161
154,165,151
168,177,157
118,141,125
121,143,134
140,151,123
121,139,123
110,134,118
104,125,106
133,147,128
148,155,128
112,131,119
110,122,88
118,133,72
118,127,83
107,134,91
147,165,154
144,160,154
147,164,160
185,192,180
167,177,166
155,173,169
74,119,62
48,92,28
60,90,45
53,96,39
54,107,36
63,110,34
56,105,32
60,110,44
34,67,27
93,138,63
77,127,39
69,120,56
65,118,51
72,126,43
93,140,63
74,121,41
85,127,52
113,157,67
114,161,58
111,155,67
93,132,50
86,122,51
84,125,45
79,127,46
75,128,52
65,112,46
92,118,58
88,114,70
78,82,66
83,128,63
66,92,54
93,114,108
116,145,145
101,139,146
151,175,163
150,163,144
131,141,123
130,143,110
100,134,84
185,194,157
128,145,139
127,155,152
124,156,154
139,157,149
182,194,165
104,119,101
128,148,134
138,152,125
139,156,130
113,140,120
152,167,147
158,169,142
154,165,127
131,146,136
137,145,95
134,151,82
90,108,68
69,108,51
141,162,151
149,157,158
136,156,144
177,189,179
176,188,179
168,183,175
81,125,65
60,103,50
41,65,30
64,113,47
55,113,34
82,128,44
44,97,33
64,117,45
116,155,68
106,158,58
83,136,55
53,103,35
69,121,51
80,132,56
69,119,43
92,136,54
66,108,34
105,149,60
99,144,58
109,154,60
91,129,52
80,118,41
83,124,44
53,99,36
72,121,54
57,110,38
68,122,52
92,142,83
99,112,74
47,90,48
65,86,97
149,183,194
123,142,143
161,180,154
143,159,129
131,143,110
133,153,122
123,137,120
86,116,87
143,171,123
109,132,133
113,145,146
119,152,150
141,166,161
159,176,153
173,166,144
185,190,175
107,127,111
132,150,126
113,129,110
133,149,127
137,160,140
133,151,118
163,167,133
145,150,106
118,132,80
103,117,89
72,114,36
83,121,92
206,213,217
128,149,134
166,181,175
179,192,183
174,185,176
45,92,38
62,110,61
58,103,49
72,116,54
74,122,50
47,96,31
50,100,43
51,100,31
103,149,55
100,146,49
110,156,66
55,96,35
62,110,42
55,95,43
72,119,40
69,111,39
79,121,50
104,152,52
103,149,59
111,159,61
82,123,43
118,156,68
105,150,51
57,102,38
65,111,48
86,139,62
86,137,65
67,109,56
69,99,38
70,111,60
72,85,79
161,171,163
139,151,124
147,155,117
132,147,119
127,142,115
114,128,104
122,135,119
111,126,98
123,140,78
145,160,142
98,126,132
124,155,151
133,164,154
145,159,150
193,192,168
204,190,170
109,129,115
139,160,129
120,137,124
105,123,111
95,110,83
121,128,87
165,164,116
87,97,58
109,128,77
135,153,117
75,111,42
56,99,36
194,201,201
117,139,132
154,171,160
162,179,171
165,182,174
73,121,63
44,88,46
66,117,63
50,112,45
49,106,45
27,64,24
57,100,49
47,87,36
104,152,71
121,161,65
95,135,44
61,95,39
25,62,30
83,121,43
100,148,52
99,142,52
93,135,48
115,161,61
94,139,48
91,136,52
112,156,62
92,126,34
123,159,66
67,109,31
68,117,45
72,124,49
77,126,57
88,116,70
83,110,41
76,111,41
112,107,80
111,123,102
153,163,135
133,140,121
99,101,81
125,139,112
118,137,109
116,130,114
142,159,137
153,157,96
198,204,162
138,154,143
124,152,153
124,154,154
138,161,149
197,205,179
156,138,100
144,141,124
118,137,113
109,125,96
119,141,116
102,114,80
113,123,85
144,157,129
135,149,120
95,122,86
123,146,117
102,118,69
83,104,48
78,82,67
139,154,151
148,169,157
149,166,158
159,176,168
71,120,58
52,99,48
23,68,23
28,72,28
38,78,37
47,73,35
52,81,29
46,59,36
76,117,54
99,145,55
107,151,73
51,91,27
47,96,30
110,155,61
99,144,44
106,145,49
79,118,38
82,121,48
101,140,70
71,115,43
103,145,59
83,118,36
79,119,41
95,143,59
50,97,31
67,116,57
69,124,58
82,108,71
86,113,65
70,115,67
40,67,26
112,114,101
144,148,121
107,115,95
92,106,103
110,127,112
123,144,118
133,151,135
116,136,120
156,157,118
207,211,167
200,208,183
138,165,156
119,150,151
129,159,159
146,160,150
165,155,93
150,140,111
118,130,116
138,152,118
117,139,114
125,142,123
127,156,130
122,143,114
142,156,151
105,121,102
107,124,96
147,156,126
106,121,64
108,127,91
249,250,254
138,151,140
165,182,175
164,180,173
73,118,63
56,106,45
79,123,55
41,74,36
33,66,28
35,74,29
47,79,36
67,81,42
48,89,38
100,143,68
58,94,29
55,91,36
94,149,57
94,143,47
102,141,46
100,142,50
91,126,42
61,88,44
39,68,21
37,79,25
60,105,36
93,133,62
67,108,31
95,140,46
54,100,36
45,98,34
51,100,44
51,96,44
54,102,58
55,97,49
56,94,34
153,154,102
141,146,120
148,162,169
125,150,138
125,145,127
125,140,120
130,143,130
114,127,117
134,135,120
136,153,119
208,212,177
187,200,179
127,161,154
113,150,147
130,156,155
173,180,125
116,126,107
132,147,125
141,161,130
131,149,122
118,136,121
111,138,126
129,160,163
123,171,188
130,153,138
128,151,115
146,155,119
111,125,85
72,107,44
192,203,203
147,167,158
164,184,171
156,176,164
48,103,47
49,103,40
77,126,51
62,101,46
50,85,38
56,93,47
52,97,42
69,95,40
66,94,37
86,120,43
76,107,39
33,65,19
92,146,56
106,156,53
100,139,50
59,97,23
99,139,62
97,140,49
71,110,49
88,131,62
64,108,39
93,131,54
98,138,48
124,166,65
60,108,39
61,114,45
56,104,39
51,101,36
55,102,52
82,106,62
88,110,55
149,148,106
187,201,187
131,152,134
122,143,115
126,141,122
143,156,139
131,142,127
130,138,129
134,150,144
100,121,88
194,206,161
215,221,205
138,158,146
120,154,148
135,157,158
163,172,146
108,126,95
144,164,148
129,149,122
126,153,142
123,155,160
131,169,182
125,171,195
133,176,187
165,169,159
144,147,119
133,143,101
132,145,118
112,163,65
67,98,72
135,157,155
153,171,161
165,184,175
31,75,36
45,86,37
39,75,32
41,72,31
109,152,60
98,133,56
87,123,59
69,92,40
97,109,52
110,133,52
91,115,40
83,117,64
93,148,56
89,137,44
93,131,49
92,131,50
90,132,50
120,168,62
93,136,52
83,123,45
86,130,45
104,140,51
103,140,50
114,152,56
85,122,51
70,108,38
81,123,48
69,124,44
58,98,44
118,118,79
117,121,73
181,175,137
205,224,220
117,130,107
145,158,138
142,151,134
137,148,130
119,129,113
114,116,106
128,126,119
99,108,75
